feature,SHAP_2020,SHAP_2021,SHAP_2022,SHAP_2023,SHAP_2024,mean_abs_shap
IPI,0.000535268152323359,0.00047215437857645764,0.00043332861002723654,0.0001957980580258957,0.0020913722078354717,0.0007455842813576842
Balance_Trade,0.0007508028500628446,0.0006092761774343672,0.0008205939292737033,0.000766820359575225,0.0006666302614346098,0.00072282471555615
SP500_log_return,0.0010076024175280055,0.00013667408868633875,0.0004127235709859628,0.0003031127610106144,0.0015809302359289176,0.0006882086148279678
CPI,0.00048675267818932373,0.0002724254141124523,0.00024314451707743956,0.0005182618360461978,0.0017849512129588826,0.0006611071316768592
High,0.001643000357696034,0.00031648606854993016,0.00019473617352050118,0.0006114018407674043,0.0005385316425322534,0.0006608312166132247
Close,0.0008896711133046817,0.0006680670868296753,0.00018996406717174471,0.0007050033502990421,0.0008470819773697636,0.0006599575189949814
RSI_14,0.0007446702066475268,0.0003067718482283757,0.0003115729779383424,0.0010234778234213687,0.0005424330075009796,0.0005857851727473186
rolling_vol_20,0.0013670037967029884,0.0004644694101463263,0.00028182673803019045,0.0003301346401077202,0.00035168544392282305,0.0005590240057820096
VIX_Close,0.0014460659702378931,0.000311664562961217,0.0004046438130678212,0.00023422148646047466,0.0003885687877334097,0.0005570329240921631
M1,0.0005291438131547086,0.0008952714895131066,0.0002515519757728744,0.0003654267132869791,0.000578301847872467,0.0005239391679200272
SMA_7,0.0010397885510242304,0.00031695139406895124,0.00020445456902100053,0.00047031165213149963,0.0005759009249093954,0.0005214814182310154
strong_momentum,0.0010627654895550146,0.0004393012348012443,0.00022790855162421763,0.0006299358901083944,0.00016916300918323182,0.0005058148350544206
GPRD_THREAT,0.00038671705633597735,0.0003095128036903437,0.0006814296797213236,0.00033652949581086964,0.0007057592988142385,0.0004839896668745506
SP500_SMA_30,0.00046284735049115016,0.0005076598341935703,0.0005197317273697687,8.781258613436905e-05,0.0007461980810763483,0.00046484991585304134
Consumer_Sentiment,0.0004784811793706467,0.0003278745890297709,0.00025000830677159535,0.000689330252915776,0.0005571295370483196,0.00046056477302722167
DXY_Log_Return,0.0006716954307407831,0.00041687711927979385,0.0005733015823821589,0.00014096014968192588,0.00043404266512019757,0.00044737538944097184
1Y_Treasury_Rate,0.00011002840642311243,0.00015896457480994285,9.870232928052757e-05,0.00017718371510723805,0.0016744156068181724,0.00044385892648779864
SP500_Close,0.0008915475138152639,0.00022607819804384613,0.000197347967391579,0.0002466321348656872,0.0005861903464524781,0.00042955923211377084
rolling_vol_5,0.0008082329994320314,0.0004758310369452611,0.00019252520368385717,0.00026554583362362413,0.00038265663323685807,0.00042495834138432637
GPRD_ACT,0.0005213047085213323,0.0001742923762391181,6.095707393931075e-05,0.0002309165578538739,0.0007839038797678792,0.0003542749192643029
M2,0.0003815321565804197,0.0005465588801016565,9.916459198412042e-05,0.00017285641433669715,0.0004378144322395201,0.0003275852950484828
GPRD,0.0003846720155676072,0.00010293309848965126,0.0002559225999453455,0.00018877691828431153,0.0002011129875983902,0.00022668352397706113
GPRD_MA30,0.00041082076786532677,0.00013194196671994143,0.0002379506503754456,0.00016119207501892182,0.00015727980736149523,0.00021983705346822617
GPRD_MA7,0.00035297671735522347,9.526228089795078e-05,0.00012581800651700567,0.0001141479713219932,0.00020131137207024115,0.00017790326963248285
